YEAR,MONTH,DAY,HOUR,TEMP,WS,WD,HUM,AP,SLP,VISIBILITY,GTEMP,n_elec
2017,11,1,0,6.625,0.5,70,87.75,1017.8,1023.675,881,7.65,6.1139
2017,11,1,1,6.6,0.725,80,88.5,1017.6,1023.475,895,8.15,5.7231
2017,11,1,2,7.25,0.7,125,87.5,1017.225,1023.1,869,8.275,5.4961
2017,11,1,3,7,0.4,45,89.5,1016.85,1022.725,925.75,8.15,5.3911
2017,11,1,4,7.125,0.65,80,89,1016.675,1022.55,905.75,8.675,5.3408
2017,11,1,5,7.225,0.725,90,90,1016.7,1022.55,821.75,8.625,5.4163
2017,11,1,6,7.675,0.525,85,89,1016.725,1022.575,773.75,8.775,5.5561
2017,11,1,7,7.65,0.725,112.5,88.75,1016.725,1022.575,753.25,8.775,5.8173
2017,11,1,8,8.8,0.8,135,85.75,1016.95,1022.775,875,10.15,6.144
2017,11,1,9,10.325,0.925,165,80.5,1017.075,1022.875,1013.25,12.225,6.5263
2017,11,1,10,11.75,1.125,162.5,75.5,1016.725,1022.475,887.25,13.475,6.619
2017,11,1,11,13.775,1.425,147.5,69.5,1016.425,1022.125,1064.5,15.85,6.5859
2017,11,1,12,15.125,2.1,157.5,63.75,1015.725,1021.425,1538.25,18.075,6.5076
2017,11,1,15,17.275,2.25,220,57.5,1014.025,1019.625,1538.75,19.175,6.516
2017,11,1,16,16.925,1.8,227.5,60.75,1013.95,1019.55,1385.75,16.95,6.5359
2017,11,1,17,16.05,1.6,182.5,65,1013.9,1019.525,1368,15.125,6.6262
2017,11,1,18,14.8,1.325,272.5,72.5,1014.1,1019.75,1207.75,13.575,6.6253
2017,11,1,19,14,1.175,227.5,77.5,1014.65,1020.35,1223.25,13.075,6.6224
2017,11,1,20,13.325,1.025,237.5,81.75,1014.675,1020.375,1155.25,12.4,6.4889
2017,11,1,21,13.175,0.7,112.5,84.25,1015,1020.675,938.5,12.2,6.3605
2017,11,1,22,12.575,0.85,197.5,88.25,1015.2,1020.925,754,11.8,6.2353
2017,11,1,23,12.05,0.525,112.5,89.75,1015.1,1020.825,657,11.625,6.137
2017,11,2,0,11.975,0.4,57.5,91,1014.8,1020.525,645.25,11.85,6.1325
2017,11,2,1,11.95,0.5,80,91,1014.55,1020.25,721.75,12.075,5.7054
2017,11,2,2,11.9,0.625,105,90.75,1014.625,1020.35,672.25,12.05,5.4878
2017,11,2,3,11.925,0.55,137.5,90.5,1014.175,1019.875,669.25,12.125,5.3662
2017,11,2,4,11.85,0.475,77.5,90.75,1013.775,1019.5,630.75,12.025,5.3388
2017,11,2,5,11.9,0.625,85,91,1013.675,1019.4,411.75,12.3,5.3977
2017,11,2,6,11.875,0.5,90,91.25,1013.5,1019.225,459,12.4,5.5592
2017,11,2,7,12,0.8,82.5,90.75,1013.35,1019.075,446,12.45,5.8142
2017,11,2,8,12.175,1,202.5,91,1013.65,1019.375,436.5,12.75,6.1217
2017,11,2,9,12.775,1.125,102.5,88.5,1013.575,1019.275,717.25,13.6,6.5293
2017,11,2,12,16.175,1.45,190,73,1012.65,1018.275,839,18.875,6.4826
2017,11,2,13,17.55,1.9,185,67,1011.8,1017.375,734.25,21.1,6.1247
2017,11,2,14,17.45,1.625,205,67.5,1011.425,1017.025,712.5,19.7,6.4695
2017,11,2,15,17.575,1.775,232.5,69,1011.225,1016.825,807.75,18.35,6.5918
2017,11,2,16,17.225,1.4,187.5,69.75,1011.15,1016.725,920.5,17.4,6.5924
2017,11,2,17,16.4,1.9,260,74.25,1011.475,1017.075,1341.25,16.15,6.6709
2017,11,2,18,15.75,0.825,125,79.25,1011.65,1017.25,1374,15.3,6.694
2017,11,2,19,15.35,1,247.5,83.5,1012.225,1017.875,847,14.975,6.7063
2017,11,2,20,14.925,1.075,190,84.25,1012.225,1017.875,528.25,14.2,6.5751
2017,11,2,21,14.075,1.05,227.5,88.25,1012.475,1018.125,644.5,13.3,6.4083
2017,11,2,22,13.275,0.65,165,90.5,1012.8,1018.475,586,12.725,6.2587
2017,11,2,23,12.925,0.725,137.5,91.25,1012.75,1018.45,582.5,12.125,6.1501
2017,11,3,0,12.6,1.3,140,92.25,1012.6,1018.3,655.75,11.65,6.1878
2017,11,3,1,12.1,0.95,180,93.5,1012.55,1018.25,518.5,11.825,5.7207
2017,11,3,2,12.15,0.95,107.5,94,1012.55,1018.25,562.25,11.625,5.4939
2017,11,3,3,11.95,0.85,95,93.75,1012.4,1018.1,508.25,12.125,5.3784
2017,11,3,4,11.975,1.125,135,94.75,1012.175,1017.9,735.25,11.6,5.3182
2017,11,3,5,11.825,1.225,192.5,95.5,1012.075,1017.775,354.75,11.575,5.3929
